,TITLES,SUBTITLES,LINKS
0,BE THE MAIN MAN,Ruben Amorim urges Kobbie Mainoo to follow Cristiano Ronaldo & Wayne Rooney's route to Man Utd stardom.. from the bench,https://www.thesun.co.uk/sport/37700943/ruben-amorim-kobbie-mainoo-ronaldo-rooney-man-utd/
1,EVERTON 0 ARSENAL 1,Gunners return to top of Prem thanks to handball gift against Everton,https://www.thesun.co.uk/sport/37700684/everton-arsenal-premier-league-gyokeres-handball/
2,NO MOR PANICKING,Amorim slams door on Man Utd panic transfers in January despite thin squad,https://www.thesun.co.uk/sport/37701126/ruben-amorim-slams-man-utd-transfer-panic/
3,JACK & THE BEANSTALKS,Jack Grealish reveals new hobby he enjoys on grounds of £5.6m mansion,https://www.thesun.co.uk/sport/37700116/jack-grealish-reveals-mansion-hobby/
4,HERTY WORDS,Wolves star in rant at 'scared' team-mates after breaking unwanted record,https://www.thesun.co.uk/sport/37701207/cowards-wolves-matt-doherty-rant-team-mates/
5,ISAK WORRY,Isak limps off with nasty-looking injury moments after scoring against Spurs,https://www.thesun.co.uk/sport/37699303/alexander-isak-injury-liverpool-tottenham-goal/
6,TOP GUNS,Arsenal player ratings: Rice keeps Gunners ticking and Timber a threat at both ends but Saliba bit off the pace,https://www.thesun.co.uk/sport/37699878/arsenal-player-ratings-rice-timber-saliba-everton/
7,MAN CITY 3 WEST HAM 0,Haaland fires hosts briefly top with Hammers in trouble,https://www.thesun.co.uk/sport/37698257/man-city-haaland-west-ham-premier-league/
8,NEWCASTLE 2 CHELSEA 2,James hero at both ends as VAR controversy taints thriller,https://www.thesun.co.uk/sport/37697382/newcastle-chelsea-reece-james-maresca-var/
9,TOTTENHAM 1 LIVERPOOL 2,Isak & Wirtz combine but £130m striker's injury spoils win,https://www.thesun.co.uk/sport/37699414/tottenham-liverpool-alexander-isak-florian-wirtz/
10,LEEDS 4 CRYSTAL PALACE 1,Red-hot Calvert-Lewin scores two to go 6pts clear of drop zone,https://www.thesun.co.uk/sport/37700642/leeds-crystal-palace-dominic-calvert-lewin/
11,CLUBSPORT,"Win a VW Golf GTI plus £2k or £30,000 cash from just 20p with our code",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
12,BRIGHTON 0 S'LAND 0,Sunderland pinch crucial point in race for European qualification,https://www.thesun.co.uk/sport/37698290/brighton-sunderland-premier-league-top-four/
13,BOURNEMOUTH 1 BURNLEY 1,Broja nets late goal to give Clarets huge boost amid horror run,https://www.thesun.co.uk/sport/37698178/bournemouth-burnley-armando-broja-premier-league/
14,WOLVES 0 BRENTFORD 2,Lewis-Potter double in 'final game on Match of the Day' bore-fest,https://www.thesun.co.uk/sport/37698435/wolves-brentford-lewis-potter-double-premier-league/
15,ALL EVENS,Chelsea player ratings: James leads by example at both ends and Fernandez a game-changer off bench but Gusto run ragged,https://www.thesun.co.uk/sport/37697431/chelsea-player-ratings-reece-james-enzo-fernandez-newcastle/
16,LAMPED HIM,Lampard sparks fight between Coventry & Saints after 's***house' celebration,https://www.thesun.co.uk/sport/37697591/frank-lampard-fight-coventry-southampton-celebration/
17,BACK OF THE NET,Lionesses set for many gongs in New Year’s Honours List after Euros triumph,https://www.thesun.co.uk/sport/37699091/lionesses-gongs-new-years-honours-euros-triumph/
18,TEARING UP,Simons fights back tears as Spurs star sent off for high lunge on Van Dijk,https://www.thesun.co.uk/sport/37699153/xavi-simons-tottenham-red-card-liverpool-van-dijk/
19,PEN-DEMONIUM,VAR branded 'f***ing joke' as Newcastle denied 'stonewall' penalty vs Chelsea,https://www.thesun.co.uk/sport/37697261/newcastle-chelsea-var-joke-premier-league/
20,STUNNER,Win a £900k 4-Bedroom Luxury Home or £700k alternative from £1.79 with our code,https://www.thesun.co.uk/sport/35120440/win-house-7dp/
21,FEVER ESPANA,Racing fans swap Cheltenham for Benidorm sun to save on cheap pints and hotels,https://www.thesun.co.uk/sport/37561770/racing-fans-cheltenham-benidorm-cheap-pints-hotel-flights/
22,LEAGUE OF THEIR OWN,Premier League Darts ticket packages to all 17 nights from just £125,https://www.thesun.co.uk/sport/37079728/premier-league-darts-2026-ticket-hotel-travel-packages/
23,REAL DEAL,See WWE superstars return for a massive SmackDown tour in the UK in January,https://www.thesun.co.uk/sport/37644081/smackdown-uk-wwe-superstars-return-massive-tour-london-belfast/
24,BACK OF THE NET,"Meet Cole Palmer's 'new girlfriend' Olivia Holder, the glamorous, jet-setting influencer who cheers him on at Chelsea",https://www.thesun.co.uk/sport/37685605/meet-cole-palmer-new-girlfriend-olivia-holder-influencer-chelsea/
25,PARLOUR GAMES,Watch Arsenal Invincible neck pint at darts after being branded ‘boring’,https://www.thesun.co.uk/sport/37696665/arsenal-invincible-downs-pint-world-darts-championship/
26,GOOD YEAR,Major tournament change as it switches from every 2 years to 4 in Prem boost,https://www.thesun.co.uk/sport/37699572/major-tournament-change-afcon-premier-league-morocco/
27,SILVA LINING,Thiago Silva returns to two-time Champions League winners in shock transfer,https://www.thesun.co.uk/sport/37697954/chelsea-thiago-silva-joins-champions-league-winners-porto/
28,ON GUARD,Pep puts Man City on red alert with cryptic 'maybe I’ll say I'm leaving' message,https://www.thesun.co.uk/sport/37696504/man-city-pep-guardiola-warning-future/
29,MANE MAN,Savinho forced to give up horse-riding hobby as he bids to help City win title,https://www.thesun.co.uk/sport/37692175/savinho-horse-riding-man-city-news/
30,MEGA OFFER,Get £50 in free bets to spend on football when you stake £10 with Betfred,https://www.thesun.co.uk/sport/19802294/betfred-free-bets-welcome-bonus-offer/
31,EPIC OFFER,Tote welcome bonus: Bet £10 and receive £40 in free bets on football and racing,https://www.thesun.co.uk/sport/21647140/free-bets-tote-horse-racing/
32,MEGA DEAL,Football free bets: Get £30 welcome bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/28298909/free-bets-football-william-hill/
33,TROY DEENEY,Prem stars are definitely talking about getting booked to get Christmas off – one team-mate booked a trip to NEW YORK,https://www.thesun.co.uk/sport/37693108/premier-league-yellow-card-christmas-troy-deeney/
34,MAD HATTERS,Shocking moment Luton fan punches fellow supporter in face live on Sky Sports,https://www.thesun.co.uk/sport/37683811/luton-town-fans-punch-reading-defeat/
35,FULLY ROASTED,England legend Michael Owen goes viral for wrong reason,https://www.thesun.co.uk/sport/37687513/michael-owen-christmas-dinner-video-viral-football/
36,HANDS OFF,PSG keeper suffers freak injury as he breaks his hand after penalty heroics,https://www.thesun.co.uk/sport/37690217/psg-matvey-safonov-breaks-hand-penalty-shootout-intercontinental-cup/
37,SLY FOXES,Leicester issue grovelling apology after ditching 'valued' Christmas tradition,https://www.thesun.co.uk/sport/37687792/leicester-apology-christmas-pay-staff/
38,MAIN MAN,Ryan Giggs gives Kobbie Mainoo verdict as Man Utd outcast linked with transfer,https://www.thesun.co.uk/sport/37684071/ryan-giggs-kobbie-mainoo-man-utd/
39,RATED,Best online casinos UK | Top 20 casino sites in December 2025,https://www.thesun.co.uk/betting/32855412/best-online-casinos-uk/
40,SLEIGH IT!,888 Casino promo code: Unlock 250 Free Spins for Christmas,https://www.thesun.co.uk/betting/37648239/888-casino-promo-code/
41,DEAL ME IN,Best live casino sites: Top online casinos in UK for live dealer games (2025),https://www.thesun.co.uk/betting/36336445/best-live-casino-sites/
42,IN DEM-ANT,Man Utd weighing up £65m January move for Antoine Semenyo amid Dorgu doubts,https://www.thesun.co.uk/sport/37686045/man-utd-eye-antoine-semenyo-transfer-patrick-dorgu-doubts/
43,TIME TO DEL-IVER,Dele Alli teases return after ex-England star had Como contract ripped up,https://www.thesun.co.uk/sport/37684559/dele-alli-teases-football-return-como-contract-ripped-up/
