,TITLES,SUBTITLES,LINKS
0,TROUBLE BRU-ING,Man Utd crisis deepens with Bruno Fernandes ruled out of SIX key clashes as captain limps on trip for family dinner,https://www.thesun.co.uk/football/37717857/man-utd-bruno-fernandes-miss-six-games-injury-derby/
1,MERRY CRIST-MAS,Cristiano Ronaldo buys two luxury homes worth £7m on private island,https://www.thesun.co.uk/sport/37719304/cristiano-ronaldo-georgina-rodriguez-private-island-luxury-homes/
2,ANTOINE STEP BEYOND,Chelsea enter £65m Semenyo race with Man Utd and Man City in talks,https://www.thesun.co.uk/sport/37722940/chelsea-antoine-semenyo-bournemouth-man-city-man-utd-transfer/
3,HAMMER BLOW,Man Utd raid Prem rivals West Ham for guru hailed by fans in huge blow,https://www.thesun.co.uk/sport/37720783/man-utd-jim-ratcliffe-cat-smith-west-ham/
4,RIFF-RAFF,Man Utd 'look to finally fix Old Trafford roof amid risk of Uefa rule breach',https://www.thesun.co.uk/sport/37722092/man-utd-fix-leaky-old-trafford-roof-uefa-rules/
5,ARSENAL VS CRYSTAL PALACE,"Predictions, betting preview latest and odds for Carabao Cup tie",https://www.thesun.co.uk/sport/37710001/arsenal-vs-crystal-palace-carabao-cup/
6,ANTOINE N ONLY,Chelsea files: Semenyo hints he is lifelong Blues fan ahead of transfer window as Maresca takes new dig at club chiefs,https://www.thesun.co.uk/sport/37720670/chelsea-bournemouth-antoine-semenyo-maresca-boehly-eghbali-giroud-fernandez/
7,ISAK AGONY,Liverpool star Isak undergoes surgery on broken leg and set for months out,https://www.thesun.co.uk/sport/37716242/alexander-isak-surgery-broken-leg-liverpool/
8,PLAN BEEB,"Former BBC pundit, 59, sacked as manager of non-league club following horror run",https://www.thesun.co.uk/sport/37722300/steve-claridge-bbc-pundit-sacked-manager-weymouth/
9,U'S-TURN,Oxford SACK Rowett as U's sit two points adrift in Championship relegation zone,https://www.thesun.co.uk/sport/37718244/oxford-sack-gary-rowett-relegation/
10,ART ACHE,Arteta faces Carabao Cup headache… roll dice & risk injuries or trust youth?,https://www.thesun.co.uk/sport/37720711/mikel-arteta-arsenal-crystal-palace/
11,JAM ROLY POLY,How Ruben Amorim has tweaked Man Utd system according to Jamie Carragher,https://www.thesun.co.uk/sport/37717833/ruben-amorim-tweaked-man-utd-system-jamie-carragher/
12,IT TAKES TWO,Man Utd prepared to buy TWO central midfielders in summer transfer overhaul with four top stars targeted,https://www.thesun.co.uk/sport/37674883/man-utd-transfer-news-midfield-anderson-wharton-fernandes/
13,'BELLISSIMO',Scott McTominay caps off wonderful year with another trophy for Napoli,https://www.thesun.co.uk/sport/37720439/scott-mctominay-napoli-super-cup-glory-instagram-pic/
14,RAQ AND ROLL,"Former Premier League star, 35, has contract terminated by club in Iraq",https://www.thesun.co.uk/sport/37723535/west-ham-sofiane-feghouli-contract-terminated-iraq/
15,ROY RAGE,Keane told 'never change' after telling Sky pundit to 'shut up' during Xmas quiz,https://www.thesun.co.uk/sport/37716294/roy-keane-rages-sky-sports-christmas-quiz-man-utd/
16,BLUE CHRISTMAS,Ally McCoist offers glimpse into his Christmas Day plans – with a rude twist,https://www.thesun.co.uk/sport/37718525/rangers-hero-ally-mccoist-christmas-plans-rude-twist/
17,STUNNER,Win a £900k 4-Bedroom Luxury Home or £700k alternative from £1.79 with our code,https://www.thesun.co.uk/sport/35120440/win-house-7dp/
